frame,x,y,body_part
84.0,335.4,181.4,sx_shoulder
84.0,379.6,102.8,sx_elbow
84.0,409.6,34.0,sx_hand
85.0,294.0,184.6,neck
85.0,253.4,188.0,dx_shoulder
85.0,199.8,120.2,dx_elbow
85.0,158.6,58.4,dx_hand
85.0,334.6,181.4,sx_shoulder
85.0,387.4,108.2,sx_elbow
85.0,427.2,40.6,sx_hand
86.0,293.4,184.6,neck
86.0,253.0,187.0,dx_shoulder
86.0,192.6,126.4,dx_elbow
86.0,148.8,78.0,dx_hand
86.0,336.2,182.0,sx_shoulder
86.0,395.0,115.6,sx_elbow
86.0,442.6,52.4,sx_hand
87.0,294.4,185.0,neck
87.0,252.4,186.8,dx_shoulder
87.0,192.2,138.4,dx_elbow
87.0,126.6,80.6,dx_hand
87.0,337.0,183.2,sx_shoulder
87.0,404.4,119.6,sx_elbow
87.0,460.8,59.6,sx_hand
88.0,296.0,188.0,neck
88.0,254.0,189.25,dx_shoulder
88.0,196.25,151.0,dx_elbow
88.0,118.75,105.75,dx_hand
88.0,337.75,185.25,sx_shoulder
88.0,411.0,131.25,sx_elbow
88.0,474.5,78.5,sx_hand
89.0,295.0,190.0,neck
89.0,252.8,190.8,dx_shoulder
89.0,189.8,158.2,dx_elbow
89.0,112.8,122.0,dx_hand
89.0,337.2,186.0,sx_shoulder
89.0,417.2,137.6,sx_elbow
89.0,485.6,91.6,sx_hand
90.0,294.8,191.8,neck
90.0,251.8,193.0,dx_shoulder
90.0,186.6,167.4,dx_elbow
90.0,104.4,141.6,dx_hand
90.0,338.2,188.2,sx_shoulder
90.0,416.0,149.8,sx_elbow
90.0,492.0,115.2,sx_hand
91.0,296.5,196.25,neck
91.0,254.5,197.5,dx_shoulder
91.0,186.25,180.25,dx_elbow
91.0,100.0,162.5,dx_hand
91.0,339.5,194.25,sx_shoulder
91.0,422.25,161.5,sx_elbow
91.0,505.0,137.25,sx_hand
92.0,297.0,192.33333333333334,neck
92.0,254.66666666666666,193.66666666666666,dx_shoulder
92.0,179.66666666666666,183.66666666666666,dx_elbow
92.0,95.66666666666667,170.33333333333334,dx_hand
92.0,339.3333333333333,190.66666666666666,sx_shoulder
92.0,426.0,166.33333333333334,sx_elbow
92.0,508.3333333333333,151.66666666666666,sx_hand
93.0,307.0,195.0,neck
93.0,261.0,197.0,dx_shoulder
93.0,180.0,203.0,dx_elbow
93.0,103.0,212.0,dx_hand
93.0,350.0,193.0,sx_shoulder
93.0,432.0,187.0,sx_elbow
93.0,504.0,188.0,sx_hand
94.0,308.0,198.0,neck
94.0,258.0,200.0,dx_shoulder
94.0,180.0,206.0,dx_elbow
94.0,106.0,225.0,dx_hand
94.0,348.0,196.0,sx_shoulder
94.0,426.0,194.0,sx_elbow
94.0,512.0,206.0,sx_hand
95.0,308.0,198.0,neck
95.0,261.0,200.0,dx_shoulder
95.0,185.0,208.0,dx_elbow
95.0,107.0,230.0,dx_hand
95.0,348.0,196.0,sx_shoulder
95.0,428.0,203.0,sx_elbow
95.0,507.0,214.0,sx_hand
96.0,308.0,198.0,neck
