frame,x,y,score,body_part
66,176,151,0,dx_elbow
66,95,113,0,dx_hand
66,353,181,0,sx_shoulder
66,430,169,0,sx_elbow
66,516,148,0,sx_hand
67,309,120,0,head
67,302,181,0,neck
67,258,181,0,dx_shoulder
67,174,151,0,dx_elbow
67,97,116,0,dx_hand
67,353,183,0,sx_shoulder
67,432,167,0,sx_elbow
67,518,148,0,sx_hand
68,304,123,0,head
68,300,181,0,neck
68,255,181,0,dx_shoulder
68,176,155,0,dx_elbow
68,93,116,0,dx_hand
68,351,183,0,sx_shoulder
68,430,172,0,sx_elbow
68,518,151,0,sx_hand
69,306,123,0,head
69,302,181,0,neck
69,258,181,0,dx_shoulder
69,176,155,0,dx_elbow
69,95,116,0,dx_hand
69,351,183,0,sx_shoulder
69,430,172,0,sx_elbow
69,518,151,0,sx_hand
70,304,120,0,head
70,302,181,0,neck
70,255,181,0,dx_shoulder
70,174,151,0,dx_elbow
70,97,113,0,dx_hand
70,353,181,0,sx_shoulder
70,432,167,0,sx_elbow
70,516,148,0,sx_hand
71,304,120,0,head
71,300,181,0,neck
71,255,181,0,dx_shoulder
71,174,151,0,dx_elbow
71,95,113,0,dx_hand
71,351,183,0,sx_shoulder
71,432,169,0,sx_elbow
71,516,148,0,sx_hand
72,304,123,0,head
72,300,181,0,neck
72,255,181,0,dx_shoulder
72,174,153,0,dx_elbow
72,97,113,0,dx_hand
72,351,181,0,sx_shoulder
72,430,169,0,sx_elbow
72,516,148,0,sx_hand
73,309,123,0,head
73,302,183,0,neck
73,260,181,0,dx_shoulder
73,174,153,0,dx_elbow
73,97,113,0,dx_hand
73,353,183,0,sx_shoulder
73,432,167,0,sx_elbow
73,513,151,0,sx_hand
74,313,120,0,head
74,302,181,0,neck
74,258,181,0,dx_shoulder
74,174,151,0,dx_elbow
74,97,113,0,dx_hand
74,355,183,0,sx_shoulder
74,437,167,0,sx_elbow
74,516,151,0,sx_hand
75,313,120,0,head
75,302,183,0,neck
75,258,181,0,dx_shoulder
75,174,151,0,dx_elbow
75,95,113,0,dx_hand
75,355,183,0,sx_shoulder
75,437,167,0,sx_elbow
75,516,151,0,sx_hand
76,309,123,0,head
76,302,183,0,neck
76,258,181,0,dx_shoulder
76,172,151,0,dx_elbow
76,95,113,0,dx_hand
76,353,183,0,sx_shoulder
76,432,169,0,sx_elbow
76,513,151,0,sx_hand
77,304,123,0,head
77,300,183,0,neck
77,255,181,0,dx_shoulder
77,174,153,0,dx_elbow
77,93,116,0,dx_hand
77,351,183,0,sx_shoulder
77,430,172,0,sx_elbow
77,513,151,0,sx_hand
78,304,125,0,head
78,300,183,0,neck
78,255,181,0,dx_shoulder
78,174,153,0,dx_elbow
78,95,116,0,dx_hand
78,351,183,0,sx_shoulder
78,432,169,0,sx_elbow
78,516,151,0,sx_hand
79,306,123,0,head
79,302,183,0,neck
79,255,181,0,dx_shoulder
79,174,153,0,dx_elbow
79,95,116,0,dx_hand
79,353,183,0,sx_shoulder
79,432,169,0,sx_elbow
79,511,151,0,sx_hand
80,309,123,0,head
80,302,183,0,neck
80,255,181,0,dx_shoulder
80,174,153,0,dx_elbow
80,95,116,0,dx_hand
80,353,183,0,sx_shoulder
80,434,169,0,sx_elbow
80,516,148,0,sx_hand
81,306,125,0,head
81,302,183,0,neck
81,255,181,0,dx_shoulder
81,176,155,0,dx_elbow
81,97,116,0,dx_hand
81,353,183,0,sx_shoulder
81,439,169,0,sx_elbow
81,516,151,0,sx_hand
82,309,125,0,head
82,302,183,0,neck
82,258,183,0,dx_shoulder
82,174,155,0,dx_elbow
82,95,116,0,dx_hand
82,353,183,0,sx_shoulder
82,439,172,0,sx_elbow
82,520,151,0,sx_hand
83,306,125,0,head
83,302,183,0,neck
83,255,183,0,dx_shoulder
83,174,155,0,dx_elbow
83,95,118,0,dx_hand
83,353,183,0,sx_shoulder
83,437,174,0,sx_elbow
83,518,153,0,sx_hand
84,304,125,0,head
84,300,183,0,neck
84,255,183,0,dx_shoulder
84,174,155,0,dx_elbow
84,95,120,0,dx_hand
84,353,183,0,sx_shoulder
84,437,174,0,sx_elbow
84,520,153,0,sx_hand
85,306,125,0,head
85,300,183,0,neck
85,255,183,0,dx_shoulder
85,174,155,0,dx_elbow
85,93,118,0,dx_hand
85,353,183,0,sx_shoulder
85,432,172,0,sx_elbow
85,518,153,0,sx_hand
86,309,125,0,head
86,302,183,0,neck
86,255,183,0,dx_shoulder
86,174,153,0,dx_elbow
86,95,118,0,dx_hand
86,353,183,0,sx_shoulder
86,434,172,0,sx_elbow
86,518,153,0,sx_hand
87,309,125,0,head
87,302,183,0,neck
87,258,183,0,dx_shoulder
87,176,155,0,dx_elbow
87,97,120,0,dx_hand
87,353,183,0,sx_shoulder
87,437,172,0,sx_elbow
87,518,153,0,sx_hand
88,309,125,0,head
88,302,183,0,neck
88,258,183,0,dx_shoulder
88,176,158,0,dx_elbow
88,97,120,0,dx_hand
88,353,183,0,sx_shoulder
88,437,174,0,sx_elbow
88,520,153,0,sx_hand
89,306,125,0,head
89,302,183,0,neck
89,258,183,0,dx_shoulder
89,176,158,0,dx_elbow
89,95,118,0,dx_hand
89,353,186,0,sx_shoulder
89,437,174,0,sx_elbow
89,520,153,0,sx_hand
90,304,125,0,head
90,300,183,0,neck
90,255,183,0,dx_shoulder
90,176,158,0,dx_elbow
90,93,120,0,dx_hand
90,353,183,0,sx_shoulder
90,432,172,0,sx_elbow
90,518,153,0,sx_hand
91,302,125,0,head
91,300,183,0,neck
91,253,183,0,dx_shoulder
91,176,160,0,dx_elbow
91,90,118,0,dx_hand
91,353,183,0,sx_shoulder
91,434,172,0,sx_elbow
91,520,153,0,sx_hand
92,306,125,0,head
92,302,183,0,neck
92,255,181,0,dx_shoulder
92,179,160,0,dx_elbow
92,95,120,0,dx_hand
92,353,183,0,sx_shoulder
92,434,172,0,sx_elbow
92,518,151,0,sx_hand
93,304,125,0,head
93,302,183,0,neck
93,255,181,0,dx_shoulder
93,174,158,0,dx_elbow
93,95,118,0,dx_hand
93,353,183,0,sx_shoulder
93,434,172,0,sx_elbow
93,520,151,0,sx_hand
94,306,125,0,head
94,302,183,0,neck
94,255,181,0,dx_shoulder
94,176,158,0,dx_elbow
94,90,116,0,dx_hand
94,353,183,0,sx_shoulder
94,434,174,0,sx_elbow
94,518,151,0,sx_hand
95,306,125,0,head
95,302,183,0,neck
95,255,181,0,dx_shoulder
95,176,160,0,dx_elbow
95,90,118,0,dx_hand
95,353,183,0,sx_shoulder
95,439,172,0,sx_elbow
95,520,153,0,sx_hand
96,306,125,0,head
96,302,183,0,neck
96,255,181,0,dx_shoulder
96,176,158,0,dx_elbow
96,88,116,0,dx_hand
96,353,183,0,sx_shoulder
96,439,172,0,sx_elbow
96,523,151,0,sx_hand
97,306,125,0,head
97,302,183,0,neck
97,255,181,0,dx_shoulder
97,176,158,0,dx_elbow
97,86,113,0,dx_hand
97,353,183,0,sx_shoulder
97,439,172,0,sx_elbow
97,518,153,0,sx_hand
98,306,123,0,head
98,302,183,0,neck
98,255,181,0,dx_shoulder
98,176,158,0,dx_elbow
98,90,116,0,dx_hand
98,353,183,0,sx_shoulder
98,439,172,0,sx_elbow
98,518,151,0,sx_hand
99,306,123,0,head
99,300,181,0,neck
99,253,181,0,dx_shoulder
99,179,158,0,dx_elbow
99,90,116,0,dx_hand
99,353,183,0,sx_shoulder
99,434,172,0,sx_elbow
99,518,148,0,sx_hand
100,309,123,0,head
100,302,183,0,neck
100,258,181,0,dx_shoulder
100,186,160,0,dx_elbow
100,95,116,0,dx_hand
100,353,183,0,sx_shoulder
100,437,169,0,sx_elbow
100,518,148,0,sx_hand
101,311,123,0,head
101,302,183,0,neck
101,260,181,0,dx_shoulder
101,188,160,0,dx_elbow
101,95,113,0,dx_hand
101,355,183,0,sx_shoulder
101,437,172,0,sx_elbow
101,518,148,0,sx_hand
102,311,123,0,head
102,302,183,0,neck
102,260,181,0,dx_shoulder
102,188,160,0,dx_elbow
102,95,113,0,dx_hand
102,355,183,0,sx_shoulder
102,439,172,0,sx_elbow
102,518,148,0,sx_hand
103,309,123,0,head
103,302,183,0,neck
103,258,181,0,dx_shoulder
103,186,158,0,dx_elbow
103,95,113,0,dx_hand
103,353,183,0,sx_shoulder
