frame,x,y,body_part
69,295,28,dx_hand
69,350,198,sx_shoulder
69,341,96,sx_elbow
69,321,29,sx_hand
70,310,200,neck
70,270,199,dx_shoulder
70,271,102,dx_elbow
70,292,28,dx_hand
70,349,198,sx_shoulder
70,341,96,sx_elbow
70,322,32,sx_hand
71,310,197,neck
71,270,199,dx_shoulder
71,270,99,dx_elbow
71,290,28,dx_hand
71,349,198,sx_shoulder
71,341,96,sx_elbow
71,322,31,sx_hand
72,310,197,neck
72,270,199,dx_shoulder
72,270,99,dx_elbow
72,290,28,dx_hand
72,348,196,sx_shoulder
72,341,96,sx_elbow
72,319,30,sx_hand
73,310,197,neck
73,270,199,dx_shoulder
73,270,97,dx_elbow
73,290,26,dx_hand
73,348,196,sx_shoulder
73,341,96,sx_elbow
73,319,30,sx_hand
74,308,198,neck
74,266,199,dx_shoulder
74,268,99,dx_elbow
74,285,29,dx_hand
74,347,196,sx_shoulder
74,342,98,sx_elbow
74,317,30,sx_hand
75,308,198,neck
75,268,197,dx_shoulder
75,268,102,dx_elbow
75,284,29,dx_hand
75,347,196,sx_shoulder
75,342,98,sx_elbow
75,319,30,sx_hand
76,310,197,neck
76,268,197,dx_shoulder
76,268,99,dx_elbow
76,281,22,dx_hand
76,347,196,sx_shoulder
76,344,91,sx_elbow
76,321,25,sx_hand
77,310,195,neck
77,270,194,dx_shoulder
77,266,99,dx_elbow
77,267,25,dx_hand
77,348,196,sx_shoulder
77,345,91,sx_elbow
77,326,22,sx_hand
78,307,195,neck
78,265,195,dx_shoulder
78,251,100,dx_elbow
78,252,23,dx_hand
78,348,196,sx_shoulder
78,346,90,sx_elbow
78,337,24,sx_hand
79,307,186,neck
79,265,187,dx_shoulder
79,251,100,dx_elbow
79,245,28,dx_hand
79,348,186,sx_shoulder
79,347,91,sx_elbow
79,343,19,sx_hand
80,307,193,neck
80,268,195,dx_shoulder
80,249,103,dx_elbow
80,230,31,dx_hand
80,347,193,sx_shoulder
80,359,93,sx_elbow
80,358,18,sx_hand
81,307,193,neck
81,261,197,dx_shoulder
81,244,105,dx_elbow
81,223,32,dx_hand
81,347,191,sx_shoulder
81,364,100,sx_elbow
81,378,22,sx_hand
82,305,188,neck
82,260,195,dx_shoulder
82,232,106,dx_elbow
82,208,35,dx_hand
82,346,184,sx_shoulder
82,377,99,sx_elbow
82,390,24,sx_hand
83,305,186,neck
83,260,190,dx_shoulder
83,229,108,dx_elbow
83,192,41,dx_hand
83,346,184,sx_shoulder
83,381,101,sx_elbow
83,403,24,sx_hand
84,305,188,neck
84,263,192,dx_shoulder
84,215,116,dx_elbow
84,178,49,dx_hand
84,346,184,sx_shoulder
84,386,103,sx_elbow
84,418,36,sx_hand
85,302,183,neck
85,260,190,dx_shoulder
85,212,121,dx_elbow
85,168,62,dx_hand
85,345,181,sx_shoulder
85,398,105,sx_elbow
85,435,40,sx_hand
86,300,183,neck
86,258,185,dx_shoulder
86,216,143,dx_elbow
86,174,99,dx_hand
86,345,179,sx_shoulder
86,401,115,sx_elbow
86,448,51,sx_hand
87,302,181,neck
87,258,183,dx_shoulder
87,216,150,dx_elbow
87,138,92,dx_hand
87,346,179,sx_shoulder
87,406,119,sx_elbow
87,464,58,sx_hand
88,307,186,neck
88,260,188,dx_shoulder
88,197,148,dx_elbow
88,124,111,dx_hand
88,348,181,sx_shoulder
88,420,126,sx_elbow
88,477,76,sx_hand
89,307,193,neck
89,260,192,dx_shoulder
89,198,164,dx_elbow
89,115,133,dx_hand
89,348,186,sx_shoulder
89,423,138,sx_elbow
89,492,94,sx_hand
90,305,193,neck
90,258,195,dx_shoulder
90,196,181,dx_elbow
90,103,155,dx_hand
90,347,188,sx_shoulder
90,426,153,sx_elbow
90,502,113,sx_hand
91,307,195,neck
91,261,197,dx_shoulder
91,194,186,dx_elbow
91,99,178,dx_hand
91,350,193,sx_shoulder
91,436,160,sx_elbow
91,511,136,sx_hand
92,307,195,neck
92,263,197,dx_shoulder
